Наименование,Артикул,Описание,Характеристики,Картинки
Окружающий мир 2 класс. Рабочая тетрадь. В 2-х частях. Часть 2. ФГОС,1000,"""Планета знаний"" - новый учебно-методический комплект для начальной школы. Основная его особенность - единство структуры учебников, сквозных линий типовых заданий, подходов к организации урочной и внеурочной деятельности. Рекомендуем!","{'Автор:': 'Ивченкова Г.Г. / Потапов И.В.', 'Издательство:': 'Просвещение', 'Год издания:': '2022', 'Артикул:': '1000', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-089931-4', 'Размеры (Д × Ш × В) в см:': '25.4 × 19.7 × 0.3', 'Автор': 'Ивченкова Г.Г. / Потапов И.В.', 'Издательство': 'Просвещение', 'Год издания': '2022', 'Артикул': '1000', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Окружающий мир', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Планета знаний', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-089931-4', 'ФГОС': 'Да', 'Размеры (Д × Ш × В) в см': '25.4 × 19.7 × 0.3'}","['Results\\1000\\1.jpg', 'Results\\1000\\2.jpg', 'Results\\1000\\3.jpg', 'Results\\1000\\4.jpg']"
Учимся решать задачи по Математике 3 класс. Рабочая тетрадь. ФГОС,10008,"Основная цель Тетради ""Учимся решать задачи. 3 класс"" - помочь учителю организовать учебную деятельность учащихся, направленную на усвоение структуры задачи и на осознание процесса ее решения. Средством организации этой деятельности являются специальные обучающие задания, включающие методические приемы сравнения, выбора, преобразования и конструирования.
Выполняя эти задания, ученики овладевают общим умением решать задачи, а также умениями планировать, контролировать, моделировать и обосновывать выполненные действия.
Задания направлены на формирование универсальных учебных действий (познавательных, регулятивных, коммуникативных), что соответствует требованиям Федерального государственного образовательного стандарта начального общего образования.","{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10008', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088581-2', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10008', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'ISBN': '978-5-09-088581-2', 'ФГОС': 'Да'}",['Results\\10008\\10008.jpg']
Учимся решать задачи по Математике 4 класс. Рабочая тетрадь. ФГОС,10009,"Основная цель Тетради ""Учимся решать задачи. 4 класс"" - помочь учителю организовать учебную деятельность учащихся, направленную на усвоение структуры задачи и на осознание процесса ее решения. Средством организации этой деятельности являются специальные обучающие задания, включающие методические приемы сравнения, выбора, преобразования и конструирования. Выполняя эти задания, ученики, овладевают общим умением решать задачи, а также умениями планировать, контролировать, моделировать и обосновывать выполненные действия. Задания направлены на формирование универсальных учебных действий (познавательных, регулятивных, коммуникативных), что соответствует требованиям Федерального государственного образовательного стандарта начального общего образования.","{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10009', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088582-9', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10009', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '4 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'ISBN': '978-5-09-088582-9', 'ФГОС': 'Да'}",['Results\\10009\\10009.jpg']
Математика 5 класс. Дидактические материалы,1001,"Пособие содержит упражнения для самостоятельных работ, которые носят обучающий и проверочный характер, а также тексты контрольных работ. В пособии отражены все темы курса математики для 5 класса.","{'Автор:': 'Чесноков А.С. / Нешков К.И.', 'Издательство:': 'Академкнига/Учебник', 'Год издания:': '2022', 'Артикул:': '1001', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-49402-587-6', 'Автор': 'Чесноков А.С. / Нешков К.И.', 'Издательство': 'Академкнига/Учебник', 'Год издания': '2022', 'Артикул': '1001', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Дидактические материалы к учебнику', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '144', 'Тип обложки': 'мягкая обложка', 'Серия издательства': 'Перспективная основная школа', 'ISBN': '978-5-49402-587-6', 'ФГОС': 'Нет'}",['Results\\1001\\1001.jpg']
Математика 1 класс. Рабочая тетрадь. В 2-х частях. Часть 1. ФГОС,10011,"Тетрадь на печатной основе содержит материал, который поможет учителю организовать самостоятельную работу учащихся на уроке. Структура тетради соответствует логике построения содержания учебника ""Математика, 1 класс"", часть 1 (автор Н. Б. Истомина). 
16-е издание, исправленное.","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10011', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090139-0', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10011', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '1 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-090139-0', 'ФГОС': 'Да'}",['Results\\10011\\10011.jpg']
Математика 1 класс. Рабочая тетрадь. В 2-х частях. Часть 2. ФГОС,10012,"Тетрадь на печатной основе содержит материал, который поможет учителю организовать самостоятельную работу учащихся на уроке. Структура тетради соответствует логике построения содержания учебника «Математика. 1 класс», часть 2 (автор Н.Б. Истомина).","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10012', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090140-6', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10012', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '1 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-090140-6', 'ФГОС': 'Да'}",['Results\\10012\\10012.jpg']
Математика 2 класс. Рабочая тетрадь. В 2-х частях. Часть 1. ФГОС,10015,"Тетрадь на печатной основе содержит материал, который поможет учителю организовать самостоятельную работу учащихся на уроке и дома. Структура тетради соответствует логике построения содержания учебника «Математика. 2 класс», часть 1 (автор Н. Б. Истомина).","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2019', 'Артикул:': '10015', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-00157-018-9', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2019', 'Артикул': '10015', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-00157-018-9', 'ФГОС': 'Да'}",['Results\\10015\\10015.jpg']
Математика 2 класс. Рабочая тетрадь. В 2-х частях. Часть 2. ФГОС,10016,"Тетрадь на печатной основе содержит материал, который поможет учителю организовать самостоятельную работу учащихся на уроке и дома. Структура тетради соответствует логике построения содержания учебника «Математика. 2 класс», часть 2 (автор Н. Б. Истомина).","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2019', 'Артикул:': '10016', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-00157-019-6', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2019', 'Артикул': '10016', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-00157-019-6', 'ФГОС': 'Да'}",['Results\\10016\\10016.jpg']
Математика 3 класс. Рабочая тетрадь. В 2-х частях. Часть 1. ФГОС,10019,"Рекомендовано Министерством образования РФ.
Тетрадь с печатной основой содержит материал, который поможет учителю организовать самостоятельную работу учащихся на уроке и дома.","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10019', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088625-3', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10019', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '88', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088625-3', 'ФГОС': 'Да'}",['Results\\10019\\10019.jpg']
Математика 3 класс. Рабочая тетрадь. В 2-х частях. Часть 2. ФГОС,10020,"Рекомендовано Министерством образования РФ.
Тетрадь с печатной основой содержит материал, который поможет учителю организовать самостоятельную работу учащихся на уроке и дома.","{'Автор:': 'Истомина Н.Б. / Редько З.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10020', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088626-0', 'Автор': 'Истомина Н.Б. / Редько З.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10020', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '88', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088626-0', 'ФГОС': 'Да'}",['Results\\10020\\10020.jpg']
Математика 5 класс. Учебник. ФГОС,10026,"Учебники математики для 5-6 классов соответствуют Федеральному государственному образовательному стандарту и рекомендованы Министерством образования и науки Российской Федерации к использованию в общеобразовательных учреждениях. В предлагаемых учебно-методических комплектах находит дальнейшее развитие методическия система развивающего обучения математике в 1-4 классах, обеспечивая преемственность начального курса математики по программе Н.Б.Истоминой и курса математики в основной школе.
ФГОС.","{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10026', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-09-094114-3', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10026', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Да', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Учебник', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'твердый переплет', 'ISBN': '978-5-09-094114-3', 'ФГОС': 'Да'}",['Results\\10026\\10026.jpg']
Математика 6 класс. Учебник. ФГОС,10027,"В учебнике использованы задания, разработанные аспирантами кафедры методики начального обучения Московского государственного открытого педагогического университета Г.В. Воителевой, О.Э. Городниченко.","{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10027', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-09-094115-0', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10027', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Да', 'Класс': '6 класс', 'Предмет': 'Математика', 'Тип материала': 'Учебник', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'твердый переплет', 'ISBN': '978-5-09-094115-0', 'ФГОС': 'Нет'}",['Results\\10027\\10027.jpg']
Технология 3 класс. Учебник. ФГОС,10038,"Учебник разработан в соответствии с ФГОС НОО и направлен на дальнейшее углубление общеобразовательной подготовки учащихся, формирование у них универсальных учебных действий, развитие творческой личности. Он позволяет осуществлять вариативный и разноуровневый подход в условиях общеобразовательных организаций различного профиля, в том числе в школах с углублённым изучением гуманитарных, математических и других предметов. Дополняющие учебник рабочие тетради позволят разнообразить виды деятельности на уроке и расширить спектр творческих задач, предлагаемых ученикам.","{'Автор:': 'Конышева Н.М.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2015', 'Артикул:': '10038', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-418-00608-0', 'Автор': 'Конышева Н.М.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2015', 'Артикул': '10038', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Да', 'Класс': '3 класс', 'Предмет': 'Технология (труд)', 'Тип материала': 'Учебник', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'твердый переплет', 'ISBN': '978-5-418-00608-0', 'ФГОС': 'Да'}",['Results\\10038\\10038.jpg']
Литерат.чтение 2кл. ч.1,10043,"Представленные в учебнике произведения помогут развить у детей литературный вкус и расширить их читательский кругозор.

Система упражнений, вопросов и заданий к текстам позволит сформировать определенные образовательным стандартом читательские компетенции, развить творческие наклонности учащихся.

Основное внимание уделяется навыку чтения, однако при этом продолжается систематическая работа над литературным образованием и универсальными учебными действиями учащихся, формированием их мировоззрения и любви к чтению.

Учителям и родителям эта книга поможет превратить чтение детей в полезное и увлекательное занятие в школе и дома.

","{'Автор:': 'Кубасова', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10043', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Да', 'ISBN:': '978-5-09-090283-0', 'Автор': 'Кубасова', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10043', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Да', 'Класс': '2 класс', 'Предмет': 'Литературное чтение', 'ISBN': '978-5-09-090283-0', 'ФГОС': 'Да'}",['Results\\10043\\10043.jpg']
Русский язык 2 класс. К тайнам нашего языка. Тетрадь-задачник. В 3-х частях. Часть 1. Рабочая тетрадь. ФГОС,10063,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10063', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088398-6', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10063', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088398-6', 'ФГОС': 'Да'}",['Results\\10063\\10063.jpg']
Русский язык 2 класс. К тайнам нашего языка. Тетрадь-задачник. В 3-х частях. Часть 2. Рабочая тетрадь. ФГОС,10064,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2021-2022', 'Артикул:': '10064', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088400-6', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2021-2022', 'Артикул': '10064', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088400-6', 'ФГОС': 'Да'}",['Results\\10064\\10064.jpg']
Русский язык 2 класс. К тайнам нашего языка. Тетрадь-задачник. В 3-х частях. Часть 3. Рабочая тетрадь. ФГОС,10065,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10065', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088401-3', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10065', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '2 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088401-3', 'ФГОС': 'Да'}",['Results\\10065\\10065.jpg']
Русский язык 3 класс. Тетрадь-задачник. В 3-х частях. Часть 1. Рабочая тетрадь. ФГОС,10068,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2022', 'Артикул:': '10068', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088402-0', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2022', 'Артикул': '10068', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '0', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088402-0', 'ФГОС': 'Да'}",['Results\\10068\\10068.jpg']
Русский язык 3 класс. Тетрадь-задачник. В 3-х частях. Часть 2. Рабочая тетрадь. ФГОС,10069,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2022', 'Артикул:': '10069', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088404-4', 'Автор': 'Соловейчик М.С. / Кузьменко Н.С.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2022', 'Артикул': '10069', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '0', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088404-4', 'ФГОС': 'Да'}",['Results\\10069\\10069.jpg']
Русский язык 3 класс. Тетрадь-задачник. В 3-х частях. Часть 3. Рабочая тетрадь. ФГОС,10070,"Тетрадь-задачник предназначается для организации наблюдений и тренировочной работы при изучении русского языка по учебнику М. С. Соловейчик, Н. С. Кузьменко, является обязательным дополнением к нему.","{'Автор:': 'Кузьменко Н.С. / Бетенькова Н.М.', 'Издательство:': 'Просвещение/Союз', 'Год издания:': '2022', 'Артикул:': '10070', 'Входит в УМК:': 'Да', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-088405-1', 'Автор': 'Кузьменко Н.С. / Бетенькова Н.М.', 'Издательство': 'Просвещение/Союз', 'Год издания': '2022', 'Артикул': '10070', 'Входит в УМК': 'Да', 'Федеральный перечень': 'Нет', 'Класс': '3 класс', 'Предмет': 'Русский язык', 'Тип материала': 'Рабочие тетради', 'Учебная система': 'Гармония', 'Группа литературы': 'учебная литература для школы', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-088405-1', 'ФГОС': 'Да'}",['Results\\10070\\10070.jpg']
Математика 5 класс. Натуральные числа. Рабочая тетрадь. Часть 1,10084,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2017', 'Артикул:': '10084', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-418-01352-1', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2017', 'Артикул': '10084', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '80', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-418-01352-1', 'ФГОС': 'Нет'}",['Results\\10084\\10084.jpg']
Математика 5 класс. Обыкновенные дроби. Рабочая тетрадь. Часть 2,10085,Описания нет,"{'Автор:': 'Истомина Н.Б.', 'Издательство:': 'Ассоциация 21век.', 'Год издания:': '2022', 'Артикул:': '10085', 'Входит в УМК:': 'Нет', 'Федеральный перечень:': 'Нет', 'ISBN:': '978-5-09-090128-4', 'Автор': 'Истомина Н.Б.', 'Издательство': 'Ассоциация 21век.', 'Год издания': '2022', 'Артикул': '10085', 'Входит в УМК': 'Нет', 'Федеральный перечень': 'Нет', 'Класс': '5 класс', 'Предмет': 'Математика', 'Тип материала': 'Рабочие тетради', 'Группа литературы': 'учебная литература для школы', 'Количество страниц': '64', 'Тип обложки': 'мягкая обложка', 'ISBN': '978-5-09-090128-4', 'ФГОС': 'Нет'}",['Results\\10085\\10085.jpg']
